id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
119,1,1,1,http://e59ff1405c046956.car40.eng.ehall.ttmc.edu.cn,e59ff1405c046956.car40.eng.ehall.ttmc.edu.cn,4,e59ff1405c046956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
143,1,1,1,https://e59ff1405c046956.car40.eng.ehall.ttmc.edu.cn,e59ff1405c046956.car40.eng.ehall.ttmc.edu.cn,4,e59ff1405c046956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
112,1,1,1,http://e59ff1415c046956.car40.eng.ehall.ttmc.edu.cn,e59ff1415c046956.car40.eng.ehall.ttmc.edu.cn,4,e59ff1415c046956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
132,1,1,1,https://e59ff1415c046956.car40.eng.ehall.ttmc.edu.cn,e59ff1415c046956.car40.eng.ehall.ttmc.edu.cn,4,e59ff1415c046956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
109,1,1,1,http://e59ff1425c046956.car40.eng.ehall.ttmc.edu.cn,e59ff1425c046956.car40.eng.ehall.ttmc.edu.cn,4,e59ff1425c046956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
145,1,1,1,https://e59ff1425c046956.car40.eng.ehall.ttmc.edu.cn,e59ff1425c046956.car40.eng.ehall.ttmc.edu.cn,4,e59ff1425c046956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
89,1,1,1,http://e59ff1435c043956.car40.eng.ehall.ttmc.edu.cn,e59ff1435c043956.car40.eng.ehall.ttmc.edu.cn,4,e59ff1435c043956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
130,1,1,1,https://e59ff1435c043956.car40.eng.ehall.ttmc.edu.cn,e59ff1435c043956.car40.eng.ehall.ttmc.edu.cn,4,e59ff1435c043956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
122,1,1,1,http://e59ff1435c044956.car40.eng.ehall.ttmc.edu.cn,e59ff1435c044956.car40.eng.ehall.ttmc.edu.cn,4,e59ff1435c044956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
147,1,1,1,https://e59ff1435c044956.car40.eng.ehall.ttmc.edu.cn,e59ff1435c044956.car40.eng.ehall.ttmc.edu.cn,4,e59ff1435c044956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
86,1,1,1,http://e59ff1435c045956.car40.eng.ehall.ttmc.edu.cn,e59ff1435c045956.car40.eng.ehall.ttmc.edu.cn,4,e59ff1435c045956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
98,1,1,1,https://e59ff1435c045956.car40.eng.ehall.ttmc.edu.cn,e59ff1435c045956.car40.eng.ehall.ttmc.edu.cn,4,e59ff1435c045956.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
107,1,1,1,http://e59ff1435c046953.car40.eng.ehall.ttmc.edu.cn,e59ff1435c046953.car40.eng.ehall.ttmc.edu.cn,4,e59ff1435c046953.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
138,1,1,1,https://e59ff1435c046953.car40.eng.ehall.ttmc.edu.cn,e59ff1435c046953.car40.eng.ehall.ttmc.edu.cn,4,e59ff1435c046953.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
