id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
3,1,1,1,https://cgjsb.beihua.edu.cn,cgjsb.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,医学检验教育成果申报,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
59,0,1,1,http://chem.beihua.edu.cn,chem.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,0,80,502,Bad Gateway,访问出错 - 502,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
75,0,1,1,https://chem.beihua.edu.cn,chem.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,0,443,502,Bad Gateway,访问出错 - 502,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
122,1,1,1,http://class.beihua.edu.cn,class.beihua.edu.cn,1,class.beihua.edu.cn,175.16.216.59,1,1,80,200,OK,'',,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,Brute
188,0,0,1,https://class.beihua.edu.cn,class.beihua.edu.cn,1,class.beihua.edu.cn,175.16.216.59,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='class.beihua.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000026BB984A608>, 'Connection to class.beihua.edu.cn timed out. (connect timeout=13)'))""),)",,,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,Brute
45,1,1,1,https://csc.beihua.edu.cn,csc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,计算机科学技术学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
97,1,1,1,http://csc.beihua.edu.cn,csc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,计算机科学技术学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
164,1,1,1,http://cy.beihua.edu.cn,cy.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,数学与统计学院新,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,Brute
173,1,1,1,https://cy.beihua.edu.cn,cy.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,数学与统计学院新,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,Brute
144,1,1,1,https://dean.beihua.edu.cn,dean.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学教务处,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
176,1,1,1,http://dean.beihua.edu.cn,dean.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学教务处,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
